ProductID,Date,StockOnHand,DeliveredQuantity,SalesQuantity,WasteQuantity,Recommended stock Quantity
2476,2022/06/05,1,0,0,0,1
2507,2022/06/05,8,6,6,0,14
2525,2022/06/05,2,0,2,0,4
2562,2022/06/05,25,8,7,0,32
2582,2022/06/05,10,0,1,0,11
2586,2022/06/05,11,8,11,0,22
2631,2022/06/05,21,6,1,0,22
2685,2022/06/05,2,4,2,0,4
2723,2022/06/05,9,0,1,0,10
2730,2022/06/05,3,0,6,0,9
2731,2022/06/05,7,0,2,0,9
2732,2022/06/05,2,0,0,0,2
2734,2022/06/05,5,0,0,0,5
2735,2022/06/05,8,0,2,0,10
2761,2022/06/05,9,10,10,0,19
2788,2022/06/05,11,12,12,1,23
2812,2022/06/05,4,0,1,0,5
2813,2022/06/05,6,0,1,0,7
2814,2022/06/05,10,0,1,0,11
2913,2022/06/05,12,6,1,2,13
2914,2022/06/05,8,6,1,0,9
3015,2022/06/05,3,0,1,0,4
3033,2022/06/05,8,0,2,0,10
3035,2022/06/05,5,0,0,0,5
4446,2022/06/05,9,6,6,2,15
12136,2022/06/05,17,15,14,0,31
12516,2022/06/05,9,4,1,0,10
12518,2022/06/05,12,0,0,0,12
12523,2022/06/05,14,8,3,0,17
16062,2022/06/05,6,0,0,0,6
16063,2022/06/05,5,0,2,0,7
19322,2022/06/05,7,0,0,0,7
19329,2022/06/05,7,0,0,0,7
19516,2022/06/05,32,16,8,0,40
19520,2022/06/05,5,0,0,0,5
75,2022/06/06,50,40,28,1,78
76,2022/06/06,58,44,36,0,94
99,2022/06/06,5,0,0,0,5
117,2022/06/06,5,4,0,0,5
118,2022/06/06,3,0,1,1,4
119,2022/06/06,4,0,2,0,6
120,2022/06/06,4,0,4,0,8
149,2022/06/06,7,0,1,0,8
184,2022/06/06,10,12,5,0,15
195,2022/06/06,36,24,25,0,61
218,2022/06/06,27,21,20,0,47
296,2022/06/06,6,0,3,0,9
300,2022/06/06,5,0,4,0,9
304,2022/06/06,9,6,4,0,13
317,2022/06/06,38,16,10,0,48
343,2022/06/06,9,4,1,0,10
353,2022/06/06,9,6,0,0,9
373,2022/06/06,17,8,7,0,24
374,2022/06/06,9,0,3,0,12
388,2022/06/06,-4,18,11,0,7
419,2022/06/06,34,16,14,1,48
420,2022/06/06,21,8,9,0,30
462,2022/06/06,9,8,11,0,20
519,2022/06/06,17,6,1,0,18
525,2022/06/06,6,5,1,0,7
596,2022/06/06,10,4,4,0,14
597,2022/06/06,10,12,7,0,17
598,2022/06/06,8,6,2,0,10
1035,2022/06/06,12,0,4,2,16
1084,2022/06/06,10,5,7,0,17
1111,2022/06/06,11,0,0,0,11
1113,2022/06/06,9,0,1,0,10
1114,2022/06/06,5,0,0,0,5
1115,2022/06/06,7,0,1,0,8
1117,2022/06/06,8,0,0,0,8
1118,2022/06/06,13,6,1,0,14
1119,2022/06/06,4,0,0,0,4
1692,2022/06/06,19,8,7,0,26
1693,2022/06/06,23,0,0,0,23
1747,2022/06/06,22,20,13,0,35
1772,2022/06/06,6,0,1,0,7
1773,2022/06/06,6,0,1,0,7
1774,2022/06/06,10,8,0,0,10
1782,2022/06/06,13,24,18,0,31
1795,2022/06/06,21,0,12,0,33
1915,2022/06/06,11,6,1,0,12
1923,2022/06/06,9,6,1,0,10
1934,2022/06/06,5,0,2,0,7
1963,2022/06/06,31,16,8,0,39
1984,2022/06/06,11,0,2,0,13
2135,2022/06/06,11,6,1,0,12
2136,2022/06/06,6,0,1,0,7
2148,2022/06/06,11,0,1,0,12
2183,2022/06/06,15,0,3,6,18
2193,2022/06/06,24,15,15,6,39
2237,2022/06/06,4,0,2,0,6
2358,2022/06/06,8,0,5,0,13
2361,2022/06/06,11,7,0,0,11
2445,2022/06/06,14,0,4,0,18
2449,2022/06/06,23,8,10,0,33
2451,2022/06/06,11,0,6,0,17
2475,2022/06/06,10,0,0,0,10
2476,2022/06/06,7,6,1,0,8
2507,2022/06/06,14,12,8,0,22
2525,2022/06/06,6,6,0,0,6
2562,2022/06/06,26,8,8,9,34
2582,2022/06/06,9,0,1,0,10
2586,2022/06/06,16,16,11,0,27
2631,2022/06/06,26,6,0,4,26
2685,2022/06/06,4,4,4,0,8
2723,2022/06/06,8,0,0,0,8
2730,2022/06/06,3,6,0,0,3
2731,2022/06/06,11,6,1,0,12
2732,2022/06/06,10,8,0,0,10
2734,2022/06/06,5,0,0,0,5
2735,2022/06/06,6,0,5,0,11
2761,2022/06/06,13,15,11,0,24
2788,2022/06/06,10,12,8,1,18
2812,2022/06/06,9,6,1,0,10
2813,2022/06/06,11,6,0,0,11
2814,2022/06/06,9,0,1,0,10
2913,2022/06/06,9,0,0,0,9
2914,2022/06/06,7,0,0,0,7
3015,2022/06/06,10,8,0,0,10
3033,2022/06/06,6,0,0,0,6
3035,2022/06/06,11,6,2,0,13
4446,2022/06/06,13,12,12,0,25
12136,2022/06/06,28,24,20,0,48
12516,2022/06/06,8,0,4,0,12
12518,2022/06/06,12,0,2,0,14
12523,2022/06/06,11,0,1,0,12
16062,2022/06/06,6,0,0,0,6
16063,2022/06/06,9,6,0,0,9
19322,2022/06/06,7,0,1,0,8
19329,2022/06/06,13,6,0,0,13
19516,2022/06/06,40,16,12,0,52
19520,2022/06/06,5,0,1,0,6
75,2022/06/07,61,40,30,14,91
76,2022/06/07,58,36,44,2,102
99,2022/06/07,5,0,0,0,5
117,2022/06/07,9,4,3,0,12
118,2022/06/07,5,4,2,0,7
119,2022/06/07,6,4,5,0,11
120,2022/06/07,4,4,3,0,7
149,2022/06/07,6,0,1,0,7
184,2022/06/07,17,12,5,0,22
195,2022/06/07,44,33,31,0,75
218,2022/06/07,31,24,26,2,57
296,2022/06/07,9,6,8,0,17
300,2022/06/07,9,8,5,0,14
304,2022/06/07,5,0,1,0,6
317,2022/06/07,44,16,4,0,48
343,2022/06/07,8,0,4,0,12
353,2022/06/07,9,0,1,0,10
373,2022/06/07,18,8,7,0,25
374,2022/06/07,6,0,1,0,7
388,2022/06/07,3,18,17,1,20
419,2022/06/07,35,16,11,0,46
420,2022/06/07,20,8,4,0,24
462,2022/06/07,-2,0,2,0,0
519,2022/06/07,22,6,3,0,25
525,2022/06/07,10,5,0,0,10
596,2022/06/07,10,4,2,0,12
597,2022/06/07,22,18,11,0,33
598,2022/06/07,6,0,1,0,7
1035,2022/06/07,12,6,2,0,14
1084,2022/06/07,13,10,5,0,18
1111,2022/06/07,11,0,1,0,12
1113,2022/06/07,8,0,0,0,8
1114,2022/06/07,11,6,0,0,11
1115,2022/06/07,12,6,2,0,14
1117,2022/06/07,8,0,0,0,8
1118,2022/06/07,12,0,2,0,14
1119,2022/06/07,4,0,0,0,4
1692,2022/06/07,12,0,1,0,13
1693,2022/06/07,23,0,0,0,23
1747,2022/06/07,24,15,14,0,38
1772,2022/06/07,5,0,0,0,5
1773,2022/06/07,11,6,2,0,13
1774,2022/06/07,10,0,5,0,15
1782,2022/06/07,14,18,15,0,29
1795,2022/06/07,9,0,7,0,16
1915,2022/06/07,10,0,1,0,11
1923,2022/06/07,8,0,2,0,10
1934,2022/06/07,3,0,1,0,4
1963,2022/06/07,39,16,7,0,46
1984,2022/06/07,9,0,2,1,11
2135,2022/06/07,10,0,1,0,11
2136,2022/06/07,5,0,1,0,6
